Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141447	OSBPL1A	protein_coding	9.542277810090823e-12	-0.483309469	0.811	0.765	2.1738263079167904e-7	146	188	ENSG00000141447
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000203650	LINC01285	lncRNA	9.6019380955562e-12	-3.463976503	0.007	0.039	2.187417517548658e-7	0	2	ENSG00000203650
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000255571	MIR9-3HG	lncRNA	9.602187234239972e-12	-6.440886334	0	0.025	2.187474273832208e-7	0	1	ENSG00000255571
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000186104	CYP2R1	protein_coding	9.64022080525305e-12	0.6214947450309154	0.175	0.11	2.196138701644697e-7	11	7	ENSG00000186104
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000167286	CD3D	protein_coding	9.742247270411864e-12	2.1292514497981445	0.026	0.005	2.2193813506725267e-7	1	0	ENSG00000167286
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141560	FN3KRP	protein_coding	9.8415321013821792e-12	0.3674607308168045	0.359	0.275	2.2419994280158742e-7	29	22	ENSG00000141560
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198369	SPRED2	protein_coding	9.854993726165071e-12	-1.372902452	0.194	0.266	2.2450661207576647e-7	12	21	ENSG00000198369
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000113300	CNOT6	protein_coding	9.916659410691108e-12	-0.895765594	0.181	0.256	2.2591141803495414e-7	11	22	ENSG00000113300
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000086506	HBQ1	protein_coding	9.94914455168795e-12	-2.131011724	0.005	0.035	2.266514620320032e-7	0	2	ENSG00000086506
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000215790	SLC35E2A	transcribed_unprocessed_pseudogene	9.981708029197493e-12	-1.158092116	0.123	0.193	2.273932906131481e-7	7	14	ENSG00000215790
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000168958	MFF	protein_coding	9.997597045073099e-12	0.068774856	0.773	0.642	2.2775525828381027e-7	108	103	ENSG00000168958
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000179604	CDC42EP4	protein_coding	9.999521995169008e-12	0.14372701459946624	0.248	0.167	2.2779911057194517e-7	18	13	ENSG00000179604
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000165233	CARD19	protein_coding	1.0008450713479818e-11	0.2738925973651296	0.466	0.365	2.2800251570378374e-7	41	41	ENSG00000165233
